-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        4.339s       154.54%        4.339s     754.143us          5754  
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us        1.000s        35.62%        1.000s     444.496us          2250  
                  execute_context_1(30)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     696.020ms        24.79%     696.020ms     348.010ms             2  
kernel_cutlass_kernel_b12xattentionmlaprefill_mgUnif...         0.00%       0.000us         0.00%       0.000us       0.000us     385.309ms        13.72%     385.309ms     329.324us          1170  
ncclDevKernel_AllReduce_bf16_RING(ncclDevKernelArgsS...         0.00%       0.000us         0.00%       0.000us       0.000us     250.200ms         8.91%     250.200ms      98.118us          2550  
void marlin::Marlin<1125899906909960l, 1125899923621...         0.00%       0.000us         0.00%       0.000us       0.000us     219.423ms         7.81%     219.423ms      67.266us          3262  
ncclDevKernel_AllGather_RING(ncclDevKernelArgsStorag...         0.00%       0.000us         0.00%       0.000us       0.000us     212.916ms         7.58%     212.916ms      78.858us          2700  
                          _moe_C::moe_wna16_marlin_gemm         0.08%       2.360ms         0.21%       5.973ms      39.819us     158.882ms         5.66%     158.882ms       1.059ms           150  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     128.312ms         4.57%     128.312ms      76.104us          1686  
ncclDevKernel_ReduceScatter_bf16_RING(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     126.485ms         4.50%     126.485ms     108.106us          1170  
void marlin::Marlin<1125899906909960l, 1125899923621...         0.00%       0.000us         0.00%       0.000us       0.000us     126.261ms         4.50%     126.261ms      59.333us          2128  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      91.481ms         3.26%      91.481ms     147.550us           620  
                                               aten::mm         0.09%       2.642ms         0.36%      10.081ms      60.366us      73.105ms         2.60%      73.509ms     440.172us           167  
                      b12x::sparse_mla_sm120_prefill_mg         1.08%      30.550ms         1.10%      30.937ms     396.627us      48.358ms         1.72%      48.358ms     619.972us            78  
                                       vllm::all_reduce         0.16%       4.636ms         0.23%       6.474ms      41.238us      42.310ms         1.51%      42.310ms     269.491us           157  
                                     record_param_comms         0.31%       8.823ms         0.39%      10.937ms      56.965us      41.507ms         1.48%      44.030ms     229.323us           192  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us      41.507ms         1.48%      41.507ms     216.180us           192  
