-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        4.339s       154.91%        4.339s     754.148us          5754  
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     999.535ms        35.68%     999.535ms     444.238us          2250  
                  execute_context_1(30)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     695.903ms        24.84%     695.903ms     347.951ms             2  
kernel_cutlass_kernel_b12xattentionmlaprefill_mgUnif...         0.00%       0.000us         0.00%       0.000us       0.000us     385.494ms        13.76%     385.494ms     329.482us          1170  
ncclDevKernel_AllReduce_bf16_RING(ncclDevKernelArgsS...         0.00%       0.000us         0.00%       0.000us       0.000us     246.028ms         8.78%     246.028ms      96.482us          2550  
void marlin::Marlin<1125899906909960l, 1125899923621...         0.00%       0.000us         0.00%       0.000us       0.000us     218.477ms         7.80%     218.477ms      66.976us          3262  
ncclDevKernel_AllGather_RING(ncclDevKernelArgsStorag...         0.00%       0.000us         0.00%       0.000us       0.000us     215.234ms         7.68%     215.234ms      79.716us          2700  
                          _moe_C::moe_wna16_marlin_gemm         0.09%       2.524ms         0.22%       6.260ms      41.731us     158.115ms         5.64%     158.115ms       1.054ms           150  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     127.410ms         4.55%     127.410ms      75.569us          1686  
void marlin::Marlin<1125899906909960l, 1125899923621...         0.00%       0.000us         0.00%       0.000us       0.000us     125.787ms         4.49%     125.787ms      59.111us          2128  
ncclDevKernel_ReduceScatter_bf16_RING(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     125.320ms         4.47%     125.320ms     107.111us          1170  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      90.398ms         3.23%      90.398ms     145.803us           620  
                                               aten::mm         0.12%       3.334ms         0.34%       9.611ms      57.554us      73.762ms         2.63%      74.079ms     443.587us           167  
                      b12x::sparse_mla_sm120_prefill_mg         1.12%      31.531ms         1.14%      32.092ms     411.432us      48.215ms         1.72%      48.215ms     618.142us            78  
                                       vllm::all_reduce         0.18%       4.972ms         0.25%       6.963ms      44.350us      43.372ms         1.55%      43.372ms     276.252us           157  
                                     record_param_comms         0.30%       8.451ms         0.38%      10.731ms      55.892us      42.688ms         1.52%      44.151ms     229.953us           192  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us      42.688ms         1.52%      42.688ms     222.331us           192  
