-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        4.336s       156.04%        4.336s     753.604us          5754  
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us        1.001s        36.03%        1.001s     444.955us          2250  
                  execute_context_1(30)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     693.963ms        24.97%     693.963ms     346.981ms             2  
kernel_cutlass_kernel_b12xattentionmlaprefill_mgUnif...         0.00%       0.000us         0.00%       0.000us       0.000us     389.924ms        14.03%     389.924ms     333.268us          1170  
ncclDevKernel_AllReduce_bf16_RING(ncclDevKernelArgsS...         0.00%       0.000us         0.00%       0.000us       0.000us     234.309ms         8.43%     234.309ms      91.886us          2550  
void marlin::Marlin<1125899906909960l, 1125899923621...         0.00%       0.000us         0.00%       0.000us       0.000us     218.577ms         7.87%     218.577ms      67.007us          3262  
ncclDevKernel_AllGather_RING(ncclDevKernelArgsStorag...         0.00%       0.000us         0.00%       0.000us       0.000us     195.795ms         7.05%     195.795ms      72.517us          2700  
                          _moe_C::moe_wna16_marlin_gemm         0.09%       2.548ms         0.23%       6.449ms      42.995us     159.341ms         5.73%     159.341ms       1.062ms           150  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     127.537ms         4.59%     127.537ms      75.645us          1686  
void marlin::Marlin<1125899906909960l, 1125899923621...         0.00%       0.000us         0.00%       0.000us       0.000us     126.085ms         4.54%     126.085ms      59.251us          2128  
ncclDevKernel_ReduceScatter_bf16_RING(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     125.226ms         4.51%     125.226ms     107.031us          1170  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      90.843ms         3.27%      90.843ms     146.521us           620  
                                               aten::mm         0.11%       3.110ms         0.17%       4.694ms      28.105us      74.078ms         2.67%      74.078ms     443.583us           167  
                      b12x::sparse_mla_sm120_prefill_mg         1.22%      34.474ms         1.24%      35.086ms     449.819us      48.907ms         1.76%      48.907ms     627.013us            78  
                                       vllm::all_reduce         0.20%       5.528ms         0.28%       7.795ms      49.647us      33.503ms         1.21%      33.503ms     213.397us           157  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.205ms         1.16%      32.205ms       2.300ms            14  
                                     record_param_comms         0.33%       9.386ms         0.43%      12.038ms      62.700us      30.713ms         1.11%      34.204ms     178.145us           192  
