-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        4.338s       155.49%        4.338s     753.864us          5754  
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     998.874ms        35.81%     998.874ms     443.944us          2250  
                  execute_context_1(30)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     686.601ms        24.61%     686.601ms     343.300ms             2  
kernel_cutlass_kernel_b12xattentionmlaprefill_mgUnif...         0.00%       0.000us         0.00%       0.000us       0.000us     385.356ms        13.81%     385.356ms     329.364us          1170  
ncclDevKernel_AllReduce_bf16_RING(ncclDevKernelArgsS...         0.00%       0.000us         0.00%       0.000us       0.000us     236.014ms         8.46%     236.014ms      92.555us          2550  
void marlin::Marlin<1125899906909960l, 1125899923621...         0.00%       0.000us         0.00%       0.000us       0.000us     218.311ms         7.83%     218.311ms      66.925us          3262  
ncclDevKernel_AllGather_RING(ncclDevKernelArgsStorag...         0.00%       0.000us         0.00%       0.000us       0.000us     214.238ms         7.68%     214.238ms      79.347us          2700  
                          _moe_C::moe_wna16_marlin_gemm         0.08%       2.293ms         0.21%       5.815ms      38.770us     158.543ms         5.68%     158.543ms       1.057ms           150  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     127.506ms         4.57%     127.506ms      75.626us          1686  
void marlin::Marlin<1125899906909960l, 1125899923621...         0.00%       0.000us         0.00%       0.000us       0.000us     125.860ms         4.51%     125.860ms      59.145us          2128  
ncclDevKernel_ReduceScatter_bf16_RING(ncclDevKernelA...         0.00%       0.000us         0.00%       0.000us       0.000us     124.422ms         4.46%     124.422ms     106.343us          1170  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      91.317ms         3.27%      91.317ms     147.286us           620  
                                               aten::mm         0.09%       2.479ms         0.30%       8.564ms      51.283us      73.589ms         2.64%      73.902ms     442.529us           167  
                      b12x::sparse_mla_sm120_prefill_mg         1.08%      30.342ms         1.09%      30.738ms     394.083us      48.295ms         1.73%      48.295ms     619.163us            78  
                                     record_param_comms         0.37%      10.475ms         0.45%      12.630ms      65.780us      41.547ms         1.49%      44.866ms     233.679us           192  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us      41.547ms         1.49%      41.547ms     216.388us           192  
                                       vllm::all_reduce         0.16%       4.495ms         0.23%       6.348ms      40.436us      33.657ms         1.21%      33.657ms     214.374us           157  
